po_number,vendor_id,order_date,expected_delivery_date,actual_delivery_date,po_status
PO-2023-0066,V-1003,2023-01-22,2023-02-03,2023-02-09,Delayed
PO-2023-0067,V-1002,2023-01-03,2023-01-18,2023-02-01,Delayed
PO-2023-0068,V-1005,2023-12-09,2023-12-26,2023-12-27,Delayed
PO-2023-0069,V-1002,2023-09-04,2023-09-18,2023-09-19,Delayed
PO-2023-0070,V-1004,2023-11-03,2023-11-29,2023-11-26,Delivered On Time
PO-2023-0071,V-1001,2023-03-18,2023-04-15,2023-04-22,Delayed
PO-2023-0072,V-1002,2023-07-03,2023-07-30,2023-07-30,Delivered On Time
PO-2023-0073,V-1001,2023-01-20,2023-02-09,2023-02-09,Delivered On Time
PO-2023-0074,V-1002,2023-05-05,2023-05-31,2023-05-30,Delivered On Time
PO-2023-0075,V-1002,2023-11-08,2023-12-05,2023-12-07,Delayed
PO-2023-0076,V-1002,2023-03-09,2023-04-05,2023-04-14,Delayed
PO-2023-0077,V-1001,2023-11-30,2023-12-26,2024-01-02,Delayed
PO-2023-0078,V-1002,2023-06-14,2023-06-27,2023-06-26,Delivered On Time
PO-2023-0079,V-1005,2023-11-07,2023-11-20,2023-11-21,Delayed
PO-2023-0080,V-1005,2023-09-02,2023-09-14,2023-09-15,Delayed
PO-2023-0081,V-1001,2023-11-29,2023-12-26,2023-12-24,Delivered On Time
PO-2023-0082,V-1001,2023-09-28,2023-10-18,2023-10-20,Delayed
PO-2023-0083,V-1001,2023-11-13,2023-12-05,2023-12-05,Delivered On Time
PO-2023-0084,V-1002,2023-11-11,2023-12-05,2023-12-04,Delivered On Time
PO-2023-0085,V-1002,2023-07-27,2023-08-17,2023-08-16,Delivered On Time
PO-2023-0086,V-1005,2023-06-02,2023-06-24,2023-06-26,Delayed
PO-2023-0087,V-1001,2023-09-26,2023-10-11,2023-10-11,Delivered On Time
PO-2023-0088,V-1002,2023-02-03,2023-02-20,2023-03-07,Delayed
PO-2023-0089,V-1002,2023-03-01,2023-03-18,2023-04-07,Delayed
PO-2023-0090,V-1002,2023-11-02,2023-11-24,2023-12-09,Delayed
PO-2023-0091,V-1001,2023-10-10,2023-11-04,2023-11-02,Delivered On Time
PO-2023-0092,V-1002,2023-08-24,2023-09-22,2023-10-11,Delayed
PO-2023-0093,V-1002,2023-12-02,2023-12-28,2024-01-13,Delayed
PO-2023-0094,V-1004,2023-06-15,2023-07-01,2023-06-30,Delivered On Time
PO-2023-0095,V-1003,2023-04-06,2023-04-25,2023-04-25,Delivered On Time
PO-2023-0096,V-1003,2023-03-28,2023-04-23,2023-04-22,Delivered On Time
PO-2023-0097,V-1002,2023-06-13,2023-06-23,2023-06-21,Delivered On Time
PO-2023-0098,V-1001,2023-05-09,2023-06-02,2023-06-01,Delivered On Time
PO-2023-0099,V-1001,2023-04-03,2023-04-19,2023-04-19,Delivered On Time
PO-2023-0100,V-1002,2023-12-21,2024-01-08,2024-01-10,Delayed
PO-2023-0101,V-1004,2023-01-26,2023-02-20,2023-02-18,Delivered On Time
PO-2023-0102,V-1002,2023-11-12,2023-12-08,2023-12-17,Delayed
PO-2023-0103,V-1002,2023-06-07,2023-06-20,2023-06-21,Delayed
PO-2023-0104,V-1001,2023-01-12,2023-02-11,2023-02-12,Delayed
PO-2023-0105,V-1005,2023-11-11,2023-11-28,2023-11-28,Delivered On Time
PO-2023-0106,V-1003,2023-10-02,2023-10-31,2023-11-02,Delayed
PO-2023-0107,V-1003,2023-09-11,2023-09-25,2023-09-27,Delayed
PO-2023-0108,V-1001,2023-08-13,2023-09-09,2023-09-16,Delayed
PO-2023-0109,V-1001,2023-09-11,2023-09-23,2023-09-22,Delivered On Time
PO-2023-0110,V-1002,2023-08-15,2023-09-09,2023-09-09,Delivered On Time
PO-2023-0111,V-1005,2023-07-10,2023-08-06,2023-08-08,Delayed
PO-2023-0112,V-1004,2023-01-18,2023-02-02,2023-01-31,Delivered On Time
PO-2023-0113,V-1001,2023-10-03,2023-10-14,2023-10-14,Delivered On Time
PO-2023-0114,V-1002,2023-05-02,2023-05-27,2023-06-08,Delayed
PO-2023-0115,V-1004,2023-05-22,2023-06-09,2023-06-07,Delivered On Time
PO-2023-0116,V-1001,2023-11-20,2023-12-20,2023-12-20,Delivered On Time
PO-2023-0117,V-1002,2023-11-08,2023-12-06,2023-12-18,Delayed
PO-2023-0118,V-1005,2023-12-01,2023-12-28,2023-12-27,Delivered On Time
PO-2023-0119,V-1002,2023-12-08,2023-12-28,2024-01-10,Delayed
PO-2023-0120,V-1001,2023-06-21,2023-07-10,2023-07-10,Delivered On Time
PO-2023-0121,V-1001,2023-04-12,2023-05-01,2023-05-03,Delayed
PO-2023-0122,V-1005,2023-12-23,2024-01-19,2024-01-17,Delivered On Time
PO-2023-0123,V-1005,2023-03-16,2023-04-02,2023-04-04,Delayed
PO-2023-0124,V-1005,2023-06-30,2023-07-15,2023-07-17,Delayed
PO-2023-0125,V-1002,2023-05-04,2023-05-14,2023-05-12,Delivered On Time
PO-2023-0126,V-1002,2023-07-10,2023-07-21,2023-08-02,Delayed
PO-2023-0127,V-1002,2023-07-17,2023-07-29,2023-08-07,Delayed
PO-2023-0128,V-1003,2023-04-16,2023-05-13,2023-05-12,Delivered On Time
PO-2023-0129,V-1004,2023-02-20,2023-03-07,2023-03-05,Delivered On Time
PO-2023-0130,V-1004,2023-04-28,2023-05-16,2023-05-13,Delivered On Time
PO-2023-0131,V-1002,2023-01-18,2023-02-05,2023-02-10,Delayed
PO-2023-0132,V-1002,2023-07-02,2023-07-29,2023-07-31,Delayed
PO-2023-0133,V-1002,2023-07-14,2023-08-06,2023-08-06,Delivered On Time
PO-2023-0134,V-1005,2023-03-12,2023-04-04,2023-04-06,Delayed
PO-2023-0135,V-1003,2023-02-02,2023-02-12,2023-02-13,Delayed
PO-2023-0136,V-1003,2023-04-07,2023-05-03,2023-05-01,Delivered On Time
PO-2023-0137,V-1001,2023-07-08,2023-07-28,2023-08-03,Delayed
PO-2023-0138,V-1001,2023-01-13,2023-02-01,2023-02-03,Delayed
PO-2023-0139,V-1002,2023-03-30,2023-04-13,2023-04-22,Delayed
PO-2023-0140,V-1002,2023-05-03,2023-05-31,2023-06-17,Delayed
PO-2023-0141,V-1003,2023-04-10,2023-04-30,2023-05-01,Delayed
PO-2023-0142,V-1002,2023-04-09,2023-05-05,2023-05-11,Delayed
PO-2023-0143,V-1001,2023-05-22,2023-06-10,2023-06-09,Delivered On Time
PO-2023-0144,V-1002,2023-07-02,2023-07-17,2023-07-15,Delivered On Time
PO-2023-0145,V-1005,2023-06-27,2023-07-09,2023-07-13,Delayed
PO-2023-0146,V-1001,2023-11-17,2023-12-10,2023-12-09,Delivered On Time
PO-2023-0147,V-1005,2023-02-25,2023-03-17,2023-03-15,Delivered On Time
PO-2023-0148,V-1003,2023-03-16,2023-04-08,2023-04-15,Delayed
PO-2023-0149,V-1002,2023-03-22,2023-04-05,2023-04-06,Delayed
PO-2023-0150,V-1002,2023-12-25,2024-01-23,2024-02-10,Delayed
PO-2023-0151,V-1002,2023-10-18,2023-11-05,2023-11-14,Delayed
PO-2023-0152,V-1002,2023-03-13,2023-03-28,2023-03-29,Delayed
PO-2023-0153,V-1004,2023-09-08,2023-09-19,2023-09-19,Delivered On Time
PO-2023-0154,V-1005,2023-11-10,2023-12-05,2023-12-06,Delayed
PO-2023-0155,V-1002,2023-03-30,2023-04-28,2023-05-14,Delayed
PO-2023-0156,V-1005,2023-05-15,2023-06-06,2023-06-07,Delayed
PO-2023-0157,V-1003,2023-01-21,2023-02-04,2023-02-07,Delayed
PO-2023-0158,V-1002,2023-09-04,2023-10-02,2023-10-08,Delayed
PO-2023-0159,V-1003,2023-03-28,2023-04-24,2023-04-23,Delivered On Time
PO-2023-0160,V-1005,2023-01-25,2023-02-19,2023-02-20,Delayed
PO-2023-0161,V-1002,2023-01-19,2023-02-08,2023-02-10,Delayed
PO-2023-0162,V-1003,2023-02-21,2023-03-23,2023-03-24,Delayed
PO-2023-0163,V-1005,2023-03-20,2023-04-13,2023-04-12,Delivered On Time
PO-2023-0164,V-1003,2023-06-24,2023-07-12,2023-07-13,Delayed
PO-2023-0165,V-1002,2023-05-02,2023-05-30,2023-06-01,Delayed
PO-2023-0166,V-1001,2023-07-20,2023-08-15,2023-08-13,Delivered On Time
PO-2023-0167,V-1002,2023-11-30,2023-12-22,2024-01-05,Delayed
PO-2023-0168,V-1001,2023-05-10,2023-06-05,2023-06-05,Delivered On Time
PO-2023-0169,V-1001,2023-05-15,2023-06-11,2023-06-18,Delayed
PO-2023-0170,V-1002,2023-01-02,2023-01-26,2023-02-05,Delayed
PO-2023-0171,V-1003,2023-02-17,2023-03-06,2023-03-04,Delivered On Time
PO-2023-0172,V-1002,2023-07-11,2023-08-02,2023-08-10,Delayed
PO-2023-0173,V-1001,2023-09-20,2023-10-04,2023-10-07,Delayed
PO-2023-0174,V-1001,2023-09-06,2023-09-17,2023-09-19,Delayed
PO-2023-0175,V-1005,2023-11-21,2023-12-21,2023-12-22,Delayed
PO-2023-0176,V-1001,2023-09-24,2023-10-08,2023-10-09,Delayed
PO-2023-0177,V-1002,2023-08-30,2023-09-14,2023-09-15,Delayed
PO-2023-0178,V-1002,2023-03-13,2023-03-29,2023-03-31,Delayed
PO-2023-0179,V-1001,2023-12-12,2023-12-28,2023-12-29,Delayed
PO-2023-0180,V-1002,2023-09-17,2023-09-29,2023-09-29,Delivered On Time
PO-2023-0181,V-1002,2023-09-26,2023-10-14,2023-10-22,Delayed
PO-2023-0182,V-1002,2023-02-09,2023-03-07,2023-03-06,Delivered On Time
PO-2023-0183,V-1005,2023-09-07,2023-09-22,2023-09-20,Delivered On Time
PO-2023-0184,V-1005,2023-07-23,2023-08-03,2023-08-03,Delivered On Time
PO-2023-0185,V-1002,2023-02-07,2023-03-03,2023-03-18,Delayed
PO-2023-0186,V-1003,2023-07-07,2023-07-20,2023-07-22,Delayed
PO-2023-0187,V-1001,2023-06-27,2023-07-09,2023-07-12,Delayed
PO-2023-0188,V-1002,2023-04-30,2023-05-24,2023-06-07,Delayed
PO-2023-0189,V-1005,2023-10-30,2023-11-26,2023-11-25,Delivered On Time
PO-2023-0190,V-1005,2023-07-22,2023-08-02,2023-08-06,Delayed
PO-2023-0191,V-1003,2023-10-06,2023-10-25,2023-10-23,Delivered On Time
PO-2023-0192,V-1002,2023-09-23,2023-10-09,2023-10-29,Delayed
PO-2023-0193,V-1001,2023-12-22,2024-01-21,2024-01-19,Delivered On Time
PO-2023-0194,V-1002,2023-04-30,2023-05-21,2023-05-26,Delayed
PO-2023-0195,V-1004,2023-02-06,2023-03-05,2023-03-05,Delivered On Time
PO-2023-0196,V-1001,2023-11-29,2023-12-23,2023-12-25,Delayed
PO-2023-0197,V-1003,2023-10-04,2023-10-15,2023-10-20,Delayed
PO-2023-0198,V-1002,2023-08-07,2023-08-27,2023-09-05,Delayed
PO-2023-0199,V-1001,2023-06-07,2023-06-21,2023-06-20,Delivered On Time
PO-2023-0200,V-1002,2023-10-11,2023-11-09,2023-11-17,Delayed
PO-2023-0201,V-1005,2023-07-11,2023-08-10,2023-08-13,Delayed
PO-2023-0202,V-1002,2023-11-01,2023-11-20,2023-11-18,Delivered On Time
PO-2023-0203,V-1005,2023-10-21,2023-11-14,2023-11-19,Delayed
PO-2023-0204,V-1005,2023-04-21,2023-05-01,2023-04-29,Delivered On Time
PO-2023-0205,V-1002,2023-08-29,2023-09-14,2023-09-12,Delivered On Time
PO-2023-0206,V-1005,2023-09-09,2023-09-23,2023-09-22,Delivered On Time
PO-2023-0207,V-1002,2023-11-23,2023-12-10,2023-12-30,Delayed
PO-2023-0208,V-1001,2023-11-09,2023-11-27,2023-11-26,Delivered On Time
PO-2023-0209,V-1003,2023-08-08,2023-08-28,2023-09-02,Delayed
PO-2023-0210,V-1005,2023-07-01,2023-07-17,2023-07-18,Delayed
PO-2023-0211,V-1002,2023-06-24,2023-07-11,2023-07-31,Delayed
PO-2023-0212,V-1001,2023-04-03,2023-04-18,2023-04-19,Delayed
PO-2023-0213,V-1005,2023-05-26,2023-06-25,2023-06-27,Delayed
PO-2023-0214,V-1005,2023-02-23,2023-03-25,2023-03-23,Delivered On Time
PO-2023-0215,V-1002,2023-06-14,2023-07-01,2023-07-16,Delayed
PO-2023-0216,V-1002,2023-03-22,2023-04-08,2023-04-08,Delivered On Time
PO-2023-0217,V-1002,2023-09-18,2023-10-13,2023-10-31,Delayed
PO-2023-0218,V-1003,2023-08-28,2023-09-23,2023-09-24,Delayed
PO-2023-0219,V-1002,2023-04-22,2023-05-18,2023-05-18,Delivered On Time
PO-2023-0220,V-1001,2023-11-04,2023-11-15,2023-11-14,Delivered On Time
PO-2023-0221,V-1003,2023-12-21,2024-01-16,2024-01-14,Delivered On Time
PO-2023-0222,V-1003,2023-10-08,2023-10-27,2023-11-03,Delayed
PO-2023-0223,V-1002,2023-05-08,2023-06-01,2023-06-14,Delayed
PO-2023-0224,V-1001,2023-06-17,2023-07-16,2023-07-17,Delayed
PO-2023-0225,V-1003,2023-04-16,2023-04-30,2023-04-28,Delivered On Time
PO-2023-0226,V-1004,2023-06-27,2023-07-12,2023-07-09,Delivered On Time
PO-2023-0227,V-1005,2023-12-19,2023-12-30,2023-12-31,Delayed
PO-2023-0228,V-1005,2023-12-26,2024-01-16,2024-01-21,Delayed
PO-2023-0229,V-1004,2023-03-28,2023-04-27,2023-04-25,Delivered On Time
PO-2023-0230,V-1005,2023-06-08,2023-06-19,2023-06-21,Delayed
PO-2023-0231,V-1002,2023-12-12,2023-12-24,2024-01-01,Delayed
PO-2023-0232,V-1003,2023-08-16,2023-08-28,2023-08-27,Delivered On Time
PO-2023-0233,V-1002,2023-08-12,2023-09-02,2023-09-10,Delayed
PO-2023-0234,V-1004,2023-02-11,2023-03-03,2023-03-03,Delivered On Time
PO-2023-0235,V-1005,2023-02-20,2023-03-02,2023-02-28,Delivered On Time
PO-2023-0236,V-1002,2023-01-09,2023-02-02,2023-02-07,Delayed
PO-2023-0237,V-1005,2023-02-11,2023-02-23,2023-02-25,Delayed
PO-2023-0238,V-1002,2023-06-25,2023-07-18,2023-08-04,Delayed
PO-2023-0239,V-1005,2023-07-26,2023-08-25,2023-08-24,Delivered On Time
PO-2023-0240,V-1004,2023-09-04,2023-09-29,2023-09-27,Delivered On Time
PO-2023-0241,V-1004,2023-04-29,2023-05-14,2023-05-12,Delivered On Time
PO-2023-0242,V-1002,2023-10-11,2023-11-02,2023-11-04,Delayed
PO-2023-0243,V-1001,2023-02-23,2023-03-07,2023-03-11,Delayed
PO-2023-0244,V-1003,2023-06-17,2023-06-28,2023-06-28,Delivered On Time
PO-2023-0245,V-1005,2023-07-25,2023-08-13,2023-08-12,Delivered On Time
PO-2023-0246,V-1002,2023-10-01,2023-10-27,2023-11-09,Delayed
PO-2023-0247,V-1004,2023-12-17,2024-01-15,2024-01-15,Delivered On Time
PO-2023-0248,V-1005,2023-09-10,2023-09-25,2023-10-02,Delayed
PO-2023-0249,V-1005,2023-12-01,2023-12-11,2023-12-12,Delayed
PO-2023-0250,V-1002,2023-12-17,2024-01-06,2024-01-20,Delayed
PO-2023-0251,V-1005,2023-08-04,2023-08-25,2023-08-29,Delayed
PO-2023-0252,V-1003,2023-12-10,2023-12-21,2023-12-21,Delivered On Time
PO-2023-0253,V-1001,2023-06-17,2023-07-12,2023-07-13,Delayed
PO-2023-0254,V-1005,2023-03-12,2023-03-31,2023-04-07,Delayed
PO-2023-0255,V-1003,2023-10-30,2023-11-25,2023-11-26,Delayed
PO-2023-0256,V-1001,2023-07-22,2023-08-05,2023-08-05,Delivered On Time
PO-2023-0257,V-1005,2023-06-23,2023-07-23,2023-07-23,Delivered On Time
PO-2023-0258,V-1001,2023-01-09,2023-01-29,2023-01-30,Delayed
PO-2023-0259,V-1005,2023-03-25,2023-04-09,2023-04-10,Delayed
PO-2023-0260,V-1005,2023-08-25,2023-09-07,2023-09-05,Delivered On Time
PO-2023-0261,V-1003,2023-06-29,2023-07-23,2023-07-21,Delivered On Time
PO-2023-0262,V-1005,2023-09-22,2023-10-19,2023-10-19,Delivered On Time
PO-2023-0263,V-1003,2023-10-30,2023-11-12,2023-11-14,Delayed
PO-2023-0264,V-1003,2023-02-27,2023-03-19,2023-03-18,Delivered On Time
PO-2023-0265,V-1005,2023-08-28,2023-09-25,2023-09-24,Delivered On Time
PO-2023-0266,V-1002,2023-05-09,2023-05-24,2023-05-30,Delayed
PO-2023-0267,V-1005,2023-03-05,2023-03-15,2023-03-15,Delivered On Time
PO-2023-0268,V-1004,2023-08-13,2023-08-27,2023-08-25,Delivered On Time
PO-2023-0269,V-1002,2023-02-18,2023-03-01,2023-02-28,Delivered On Time
PO-2023-0270,V-1001,2023-05-27,2023-06-08,2023-06-12,Delayed
PO-2023-0271,V-1003,2023-03-05,2023-03-28,2023-03-29,Delayed
PO-2023-0272,V-1001,2023-03-23,2023-04-20,2023-04-19,Delivered On Time
PO-2023-0273,V-1002,2023-06-06,2023-07-04,2023-07-20,Delayed
PO-2023-0274,V-1005,2023-05-18,2023-06-16,2023-06-17,Delayed
PO-2023-0275,V-1001,2023-04-03,2023-04-13,2023-04-16,Delayed
PO-2023-0276,V-1005,2023-08-11,2023-08-23,2023-08-23,Delivered On Time
PO-2023-0277,V-1002,2023-07-20,2023-08-14,2023-08-14,Delivered On Time
PO-2023-0278,V-1002,2023-02-16,2023-03-13,2023-03-11,Delivered On Time
PO-2023-0279,V-1004,2023-02-10,2023-03-03,2023-03-01,Delivered On Time
PO-2023-0280,V-1002,2023-01-15,2023-02-14,2023-02-21,Delayed
PO-2023-0281,V-1004,2023-11-21,2023-12-19,2023-12-19,Delivered On Time
PO-2023-0282,V-1001,2023-12-24,2024-01-15,2024-01-16,Delayed
PO-2023-0283,V-1003,2023-06-23,2023-07-16,2023-07-15,Delivered On Time
PO-2023-0284,V-1005,2023-05-05,2023-05-27,2023-05-25,Delivered On Time
PO-2023-0285,V-1001,2023-02-02,2023-02-20,2023-02-18,Delivered On Time
PO-2023-0286,V-1001,2023-03-21,2023-04-17,2023-04-18,Delayed
PO-2023-0287,V-1003,2023-02-27,2023-03-22,2023-03-21,Delivered On Time
PO-2023-0288,V-1002,2023-12-01,2023-12-18,2023-12-24,Delayed
PO-2023-0289,V-1002,2023-06-07,2023-06-17,2023-06-19,Delayed
PO-2023-0290,V-1002,2023-01-31,2023-02-11,2023-02-20,Delayed
PO-2023-0291,V-1003,2023-10-21,2023-11-05,2023-11-06,Delayed
PO-2023-0292,V-1002,2023-07-23,2023-08-14,2023-08-16,Delayed
PO-2023-0293,V-1001,2023-01-03,2023-01-14,2023-01-14,Delivered On Time
PO-2023-0294,V-1005,2023-01-30,2023-02-16,2023-02-14,Delivered On Time
PO-2023-0295,V-1003,2023-12-14,2024-01-09,2024-01-11,Delayed
PO-2023-0296,V-1004,2023-11-06,2023-12-06,2023-12-03,Delivered On Time
PO-2023-0297,V-1002,2023-02-10,2023-02-21,2023-03-09,Delayed
PO-2023-0298,V-1003,2023-02-06,2023-03-01,2023-03-01,Delivered On Time
PO-2023-0299,V-1001,2023-07-06,2023-07-16,2023-07-14,Delivered On Time
PO-2023-0300,V-1001,2023-06-08,2023-07-03,2023-07-06,Delayed
PO-2023-0301,V-1002,2023-07-10,2023-08-02,2023-08-01,Delivered On Time
PO-2023-0302,V-1003,2023-09-30,2023-10-14,2023-10-15,Delayed
PO-2023-0303,V-1005,2023-02-06,2023-02-22,2023-02-22,Delivered On Time
PO-2023-0304,V-1005,2023-01-08,2023-02-06,2023-02-08,Delayed
PO-2023-0305,V-1002,2023-09-28,2023-10-21,2023-10-20,Delivered On Time
PO-2023-0306,V-1002,2023-08-03,2023-09-02,2023-09-20,Delayed
PO-2023-0307,V-1005,2023-06-19,2023-07-17,2023-07-15,Delivered On Time
PO-2023-0308,V-1003,2023-02-26,2023-03-14,2023-03-16,Delayed
PO-2023-0309,V-1001,2023-12-18,2024-01-15,2024-01-15,Delivered On Time
PO-2023-0310,V-1002,2023-04-29,2023-05-13,2023-05-27,Delayed
PO-2023-0311,V-1002,2023-02-03,2023-03-03,2023-03-23,Delayed
PO-2023-0312,V-1003,2023-05-09,2023-05-24,2023-05-22,Delivered On Time
PO-2023-0313,V-1002,2023-01-27,2023-02-09,2023-02-22,Delayed
PO-2023-0314,V-1003,2023-08-20,2023-09-15,2023-09-13,Delivered On Time
PO-2023-0315,V-1003,2023-05-28,2023-06-14,2023-06-16,Delayed
PO-2023-0316,V-1001,2023-11-13,2023-11-28,2023-11-30,Delayed
PO-2023-0317,V-1001,2023-05-29,2023-06-26,2023-06-26,Delivered On Time
PO-2023-0318,V-1001,2023-05-11,2023-05-28,2023-05-30,Delayed
PO-2023-0319,V-1002,2023-10-22,2023-11-05,2023-11-12,Delayed
PO-2023-0320,V-1003,2023-04-28,2023-05-09,2023-05-08,Delivered On Time
PO-2023-0321,V-1001,2023-02-05,2023-02-24,2023-02-25,Delayed
PO-2023-0322,V-1001,2023-07-21,2023-07-31,2023-07-29,Delivered On Time
PO-2023-0323,V-1004,2023-12-02,2023-12-30,2023-12-28,Delivered On Time
PO-2023-0324,V-1005,2023-01-15,2023-01-29,2023-01-27,Delivered On Time
PO-2023-0325,V-1003,2023-10-02,2023-10-13,2023-10-20,Delayed
PO-2023-0326,V-1002,2023-01-21,2023-02-18,2023-02-17,Delivered On Time
PO-2023-0327,V-1002,2023-11-18,2023-12-15,2023-12-21,Delayed
PO-2023-0328,V-1002,2023-09-24,2023-10-15,2023-11-02,Delayed
PO-2023-0329,V-1001,2023-07-12,2023-07-23,2023-07-28,Delayed
PO-2023-0330,V-1002,2023-06-26,2023-07-22,2023-08-08,Delayed
PO-2023-0331,V-1003,2023-09-11,2023-09-22,2023-09-22,Delivered On Time
PO-2023-0332,V-1005,2023-01-05,2023-01-16,2023-01-15,Delivered On Time
PO-2023-0333,V-1002,2023-01-28,2023-02-09,2023-02-16,Delayed
PO-2023-0334,V-1002,2023-02-16,2023-03-16,2023-04-03,Delayed
PO-2023-0335,V-1004,2023-11-07,2023-11-20,2023-11-17,Delivered On Time
PO-2023-0336,V-1003,2023-12-17,2024-01-09,2024-01-15,Delayed
PO-2023-0337,V-1004,2023-08-08,2023-08-31,2023-08-29,Delivered On Time
