item_id,po_number,material_id,quantity,unit_price
93,PO-2023-0082,MAT-001,165,48.1
94,PO-2023-0083,MAT-001,58,52.29
95,PO-2023-0084,MAT-002,3146,4.51
96,PO-2023-0085,MAT-003,2922,1.2
97,PO-2023-0086,MAT-006,2028,2.45
98,PO-2023-0087,MAT-001,116,50.65
99,PO-2023-0088,MAT-002,4662,4.31
100,PO-2023-0089,MAT-003,3330,1.18
101,PO-2023-0090,MAT-003,1427,1.25
102,PO-2023-0090,MAT-002,3173,4.63
103,PO-2023-0091,MAT-001,26,49.3
104,PO-2023-0092,MAT-003,4862,1.19
105,PO-2023-0093,MAT-003,1888,1.25
106,PO-2023-0094,MAT-005,4566,0.8
107,PO-2023-0095,MAT-004,193,46.18
108,PO-2023-0096,MAT-004,106,45.62
109,PO-2023-0097,MAT-003,1882,1.25
110,PO-2023-0098,MAT-001,21,51.68
111,PO-2023-0099,MAT-001,38,48.1
112,PO-2023-0100,MAT-002,3611,4.56
113,PO-2023-0100,MAT-003,3739,1.22
114,PO-2023-0101,MAT-005,3718,0.81
115,PO-2023-0102,MAT-003,3422,1.21
116,PO-2023-0102,MAT-002,1634,4.64
117,PO-2023-0103,MAT-002,2683,4.3
118,PO-2023-0103,MAT-003,3577,1.2
119,PO-2023-0104,MAT-001,107,51.06
120,PO-2023-0105,MAT-006,1687,2.42
121,PO-2023-0106,MAT-004,163,44.01
122,PO-2023-0107,MAT-004,98,44.4
123,PO-2023-0108,MAT-001,45,50.93
124,PO-2023-0109,MAT-001,121,49.89
125,PO-2023-0110,MAT-002,2999,4.34
126,PO-2023-0110,MAT-003,2563,1.17
127,PO-2023-0111,MAT-006,2712,2.44
128,PO-2023-0112,MAT-005,3765,0.79
129,PO-2023-0113,MAT-001,193,51.65
130,PO-2023-0114,MAT-002,2623,4.65
131,PO-2023-0114,MAT-003,3444,1.16
132,PO-2023-0115,MAT-005,3660,0.84
133,PO-2023-0116,MAT-001,157,51.0
134,PO-2023-0117,MAT-003,3126,1.17
135,PO-2023-0118,MAT-006,1568,2.58
136,PO-2023-0119,MAT-003,3411,1.17
137,PO-2023-0120,MAT-001,125,48.24
138,PO-2023-0121,MAT-001,166,47.5
139,PO-2023-0122,MAT-006,2142,2.49
140,PO-2023-0123,MAT-006,3453,2.39
141,PO-2023-0124,MAT-006,1279,2.57
142,PO-2023-0125,MAT-002,1315,4.55
143,PO-2023-0125,MAT-003,1738,1.2
144,PO-2023-0126,MAT-002,3268,4.59
145,PO-2023-0127,MAT-002,1200,4.39
146,PO-2023-0128,MAT-004,127,43.7
147,PO-2023-0129,MAT-005,4756,0.82
148,PO-2023-0130,MAT-005,1337,0.78
149,PO-2023-0131,MAT-003,4618,1.26
150,PO-2023-0131,MAT-002,4466,4.6
151,PO-2023-0132,MAT-002,4461,4.4
152,PO-2023-0133,MAT-003,4871,1.24
153,PO-2023-0133,MAT-002,3168,4.53
154,PO-2023-0134,MAT-006,3114,2.43
155,PO-2023-0135,MAT-004,59,46.0
156,PO-2023-0136,MAT-004,89,45.53
157,PO-2023-0137,MAT-001,100,48.26
158,PO-2023-0138,MAT-001,155,51.68
159,PO-2023-0139,MAT-003,4449,1.22
160,PO-2023-0140,MAT-003,4202,1.17
161,PO-2023-0140,MAT-002,4540,4.58
162,PO-2023-0141,MAT-004,129,45.14
163,PO-2023-0142,MAT-003,2676,1.16
164,PO-2023-0142,MAT-002,4447,4.51
165,PO-2023-0143,MAT-001,173,50.34
166,PO-2023-0144,MAT-003,1780,1.23
167,PO-2023-0145,MAT-006,2031,2.56
168,PO-2023-0146,MAT-001,18,51.85
169,PO-2023-0147,MAT-006,3286,2.43
170,PO-2023-0148,MAT-004,28,46.8
171,PO-2023-0149,MAT-002,4763,4.31
172,PO-2023-0149,MAT-003,2200,1.25
173,PO-2023-0150,MAT-002,4705,4.64
174,PO-2023-0151,MAT-003,3865,1.18
175,PO-2023-0151,MAT-002,3854,4.67
176,PO-2023-0152,MAT-003,4807,1.2
177,PO-2023-0153,MAT-005,3167,0.8
178,PO-2023-0154,MAT-006,4224,2.56
179,PO-2023-0155,MAT-002,3236,4.55
180,PO-2023-0156,MAT-006,4179,2.56
181,PO-2023-0157,MAT-004,85,46.42
182,PO-2023-0158,MAT-003,3472,1.16
183,PO-2023-0159,MAT-004,147,46.42
184,PO-2023-0160,MAT-006,1967,2.38
185,PO-2023-0161,MAT-002,1731,4.44
186,PO-2023-0162,MAT-004,167,44.7
187,PO-2023-0163,MAT-006,4993,2.6
188,PO-2023-0164,MAT-004,107,46.79
189,PO-2023-0165,MAT-003,3147,1.22
190,PO-2023-0166,MAT-001,70,48.89
191,PO-2023-0167,MAT-002,2383,4.46
192,PO-2023-0167,MAT-003,1669,1.23
193,PO-2023-0168,MAT-001,184,50.49
194,PO-2023-0169,MAT-001,46,50.75
195,PO-2023-0170,MAT-003,4408,1.17
196,PO-2023-0171,MAT-004,113,44.37
197,PO-2023-0172,MAT-003,2102,1.21
198,PO-2023-0173,MAT-001,196,51.79
199,PO-2023-0174,MAT-001,70,48.36
200,PO-2023-0175,MAT-006,3459,2.58
201,PO-2023-0176,MAT-001,150,50.95
202,PO-2023-0177,MAT-002,4836,4.32
203,PO-2023-0178,MAT-002,1569,4.41
204,PO-2023-0179,MAT-001,25,51.99
205,PO-2023-0180,MAT-003,2793,1.26
206,PO-2023-0181,MAT-002,3042,4.64
207,PO-2023-0182,MAT-003,3993,1.2
208,PO-2023-0183,MAT-006,3396,2.41
209,PO-2023-0184,MAT-006,2200,2.62
210,PO-2023-0185,MAT-002,1014,4.56
211,PO-2023-0185,MAT-003,4616,1.21
212,PO-2023-0186,MAT-004,147,44.77
213,PO-2023-0187,MAT-001,16,50.23
214,PO-2023-0188,MAT-003,1122,1.25
215,PO-2023-0188,MAT-002,1626,4.65
216,PO-2023-0189,MAT-006,2504,2.46
217,PO-2023-0190,MAT-006,4828,2.54
218,PO-2023-0191,MAT-004,19,46.19
219,PO-2023-0192,MAT-002,4074,4.66
220,PO-2023-0193,MAT-001,141,50.34
221,PO-2023-0194,MAT-003,2148,1.17
222,PO-2023-0194,MAT-002,3481,4.49
223,PO-2023-0195,MAT-005,2182,0.8
224,PO-2023-0196,MAT-001,184,50.2
225,PO-2023-0197,MAT-004,70,42.87
226,PO-2023-0198,MAT-002,3322,4.28
227,PO-2023-0199,MAT-001,29,48.99
228,PO-2023-0200,MAT-002,2466,4.49
229,PO-2023-0200,MAT-003,2795,1.17
230,PO-2023-0201,MAT-006,4397,2.41
231,PO-2023-0202,MAT-003,1004,1.26
232,PO-2023-0203,MAT-006,4194,2.39
233,PO-2023-0204,MAT-006,4184,2.51
234,PO-2023-0205,MAT-003,2274,1.25
235,PO-2023-0206,MAT-006,1417,2.54
236,PO-2023-0207,MAT-002,2887,4.32
237,PO-2023-0207,MAT-003,2059,1.21
238,PO-2023-0208,MAT-001,195,50.51
239,PO-2023-0209,MAT-004,117,44.19
240,PO-2023-0210,MAT-006,1963,2.5
241,PO-2023-0211,MAT-002,2732,4.45
242,PO-2023-0212,MAT-001,169,47.79
243,PO-2023-0213,MAT-006,3535,2.57
244,PO-2023-0214,MAT-006,4120,2.41
245,PO-2023-0215,MAT-003,4350,1.17
246,PO-2023-0215,MAT-002,4000,4.6
247,PO-2023-0216,MAT-002,2363,4.34
248,PO-2023-0216,MAT-003,2192,1.26
249,PO-2023-0217,MAT-002,4885,4.55
250,PO-2023-0218,MAT-004,35,42.84
251,PO-2023-0219,MAT-002,3267,4.39
252,PO-2023-0220,MAT-001,122,51.46
253,PO-2023-0221,MAT-004,77,47.07
254,PO-2023-0222,MAT-004,99,43.85
255,PO-2023-0223,MAT-003,4660,1.17
256,PO-2023-0223,MAT-002,1389,4.47
257,PO-2023-0224,MAT-001,121,48.12
258,PO-2023-0225,MAT-004,151,42.77
259,PO-2023-0226,MAT-005,3437,0.78
260,PO-2023-0227,MAT-006,4684,2.57
261,PO-2023-0228,MAT-006,3720,2.53
262,PO-2023-0229,MAT-005,4212,0.8
263,PO-2023-0230,MAT-006,2293,2.44
264,PO-2023-0231,MAT-003,3622,1.22
265,PO-2023-0231,MAT-002,4238,4.29
266,PO-2023-0232,MAT-004,61,45.63
267,PO-2023-0233,MAT-003,1971,1.2
268,PO-2023-0233,MAT-002,2653,4.39
269,PO-2023-0234,MAT-005,3315,0.78
270,PO-2023-0235,MAT-006,4541,2.5
271,PO-2023-0236,MAT-002,3494,4.33
272,PO-2023-0237,MAT-006,2443,2.38
273,PO-2023-0238,MAT-002,4988,4.39
274,PO-2023-0238,MAT-003,1412,1.16
275,PO-2023-0239,MAT-006,2483,2.4
276,PO-2023-0240,MAT-005,2857,0.76
277,PO-2023-0241,MAT-005,3704,0.83
278,PO-2023-0242,MAT-003,4186,1.14
279,PO-2023-0243,MAT-001,123,48.07
280,PO-2023-0244,MAT-004,168,44.08
281,PO-2023-0245,MAT-006,4682,2.4
282,PO-2023-0246,MAT-003,1478,1.23
283,PO-2023-0246,MAT-002,3096,4.64
284,PO-2023-0247,MAT-005,3445,0.79
285,PO-2023-0248,MAT-006,1857,2.46
286,PO-2023-0249,MAT-006,4212,2.47
287,PO-2023-0250,MAT-003,1834,1.24
288,PO-2023-0250,MAT-002,1893,4.51
289,PO-2023-0251,MAT-006,2378,2.48
290,PO-2023-0252,MAT-004,109,46.96
291,PO-2023-0253,MAT-001,183,47.87
292,PO-2023-0254,MAT-006,1957,2.53
293,PO-2023-0255,MAT-004,54,46.28
294,PO-2023-0256,MAT-001,185,48.98
295,PO-2023-0257,MAT-006,2078,2.51
296,PO-2023-0258,MAT-001,109,50.32
297,PO-2023-0259,MAT-006,1367,2.51
298,PO-2023-0260,MAT-006,4978,2.57
299,PO-2023-0261,MAT-004,66,46.48
300,PO-2023-0262,MAT-006,1737,2.52
301,PO-2023-0263,MAT-004,178,43.38
302,PO-2023-0264,MAT-004,67,44.69
303,PO-2023-0265,MAT-006,1508,2.42
304,PO-2023-0266,MAT-003,1024,1.18
305,PO-2023-0266,MAT-002,1166,4.32
306,PO-2023-0267,MAT-006,1396,2.61
307,PO-2023-0268,MAT-005,2988,0.81
308,PO-2023-0269,MAT-003,2281,1.19
309,PO-2023-0270,MAT-001,28,48.7
310,PO-2023-0271,MAT-004,63,43.34
311,PO-2023-0272,MAT-001,73,48.52
312,PO-2023-0273,MAT-002,3767,4.31
313,PO-2023-0274,MAT-006,4474,2.42
314,PO-2023-0275,MAT-001,159,47.6
315,PO-2023-0276,MAT-006,1606,2.48
316,PO-2023-0277,MAT-003,1946,1.14
317,PO-2023-0277,MAT-002,2645,4.52
318,PO-2023-0278,MAT-002,2789,4.42
319,PO-2023-0278,MAT-003,2163,1.19
320,PO-2023-0279,MAT-005,3563,0.81
321,PO-2023-0280,MAT-002,3438,4.61
322,PO-2023-0281,MAT-005,2169,0.84
323,PO-2023-0282,MAT-001,87,52.19
324,PO-2023-0283,MAT-004,77,44.57
325,PO-2023-0284,MAT-006,2121,2.45
326,PO-2023-0285,MAT-001,163,51.44
327,PO-2023-0286,MAT-001,75,49.69
328,PO-2023-0287,MAT-004,160,45.01
329,PO-2023-0288,MAT-003,4694,1.23
330,PO-2023-0289,MAT-002,3100,4.39
331,PO-2023-0289,MAT-003,2046,1.23
332,PO-2023-0290,MAT-002,4911,4.49
333,PO-2023-0290,MAT-003,3253,1.21
334,PO-2023-0291,MAT-004,78,45.61
335,PO-2023-0292,MAT-003,2397,1.25
336,PO-2023-0293,MAT-001,118,50.08
337,PO-2023-0294,MAT-006,3866,2.53
338,PO-2023-0295,MAT-004,16,43.66
339,PO-2023-0296,MAT-005,2227,0.81
340,PO-2023-0297,MAT-002,4384,4.64
341,PO-2023-0297,MAT-003,2149,1.18
342,PO-2023-0298,MAT-004,53,43.23
343,PO-2023-0299,MAT-001,74,49.22
344,PO-2023-0300,MAT-001,106,49.84
345,PO-2023-0301,MAT-003,2995,1.24
346,PO-2023-0301,MAT-002,3228,4.56
347,PO-2023-0302,MAT-004,61,45.34
348,PO-2023-0303,MAT-006,4969,2.62
349,PO-2023-0304,MAT-006,1876,2.49
350,PO-2023-0305,MAT-002,3599,4.35
351,PO-2023-0306,MAT-003,2174,1.15
352,PO-2023-0306,MAT-002,1614,4.66
353,PO-2023-0307,MAT-006,4560,2.39
354,PO-2023-0308,MAT-004,79,44.03
355,PO-2023-0309,MAT-001,132,49.6
356,PO-2023-0310,MAT-002,3125,4.39
357,PO-2023-0310,MAT-003,1129,1.21
358,PO-2023-0311,MAT-003,3894,1.17
359,PO-2023-0312,MAT-004,38,42.97
360,PO-2023-0313,MAT-002,4204,4.52
361,PO-2023-0313,MAT-003,3817,1.22
362,PO-2023-0314,MAT-004,163,44.4
363,PO-2023-0315,MAT-004,43,47.09
364,PO-2023-0316,MAT-001,190,48.63
365,PO-2023-0317,MAT-001,33,50.75
366,PO-2023-0318,MAT-001,172,49.57
367,PO-2023-0319,MAT-002,3128,4.59
368,PO-2023-0320,MAT-004,149,46.46
369,PO-2023-0321,MAT-001,124,47.8
370,PO-2023-0322,MAT-001,200,49.97
371,PO-2023-0323,MAT-005,2949,0.78
372,PO-2023-0324,MAT-006,3518,2.58
373,PO-2023-0325,MAT-004,161,46.54
374,PO-2023-0326,MAT-002,4316,4.6
375,PO-2023-0327,MAT-002,1729,4.67
376,PO-2023-0327,MAT-003,3008,1.24
377,PO-2023-0328,MAT-003,1499,1.2
378,PO-2023-0328,MAT-002,2885,4.3
379,PO-2023-0329,MAT-001,25,50.02
380,PO-2023-0330,MAT-002,2440,4.52
381,PO-2023-0330,MAT-003,4433,1.14
382,PO-2023-0331,MAT-004,33,44.47
383,PO-2023-0332,MAT-006,1491,2.61
384,PO-2023-0333,MAT-003,4867,1.26
385,PO-2023-0334,MAT-002,2181,4.33
386,PO-2023-0334,MAT-003,2191,1.2
387,PO-2023-0335,MAT-005,1748,0.83
388,PO-2023-0336,MAT-004,32,43.59
389,PO-2023-0337,MAT-005,3339,0.77
390,PO-2023-0338,MAT-003,2668,1.17
391,PO-2023-0338,MAT-002,4704,4.65
392,PO-2023-0339,MAT-006,3666,2.56
393,PO-2023-0340,MAT-002,3304,4.67
394,PO-2023-0340,MAT-003,4359,1.23
395,PO-2023-0341,MAT-004,197,45.76
396,PO-2023-0342,MAT-006,1645,2.6
397,PO-2023-0343,MAT-004,154,42.89
398,PO-2023-0344,MAT-002,2543,4.53
399,PO-2023-0344,MAT-003,4536,1.25
400,PO-2023-0345,MAT-001,176,48.88
401,PO-2023-0346,MAT-005,2097,0.81
402,PO-2023-0347,MAT-002,3546,4.43
403,PO-2023-0347,MAT-003,3854,1.2
404,PO-2023-0348,MAT-006,2002,2.55
405,PO-2023-0349,MAT-003,1573,1.16
406,PO-2023-0350,MAT-004,74,45.46
407,PO-2023-0351,MAT-004,158,46.86
408,PO-2023-0352,MAT-004,77,46.1
409,PO-2023-0353,MAT-002,4359,4.37
410,PO-2023-0354,MAT-002,1044,4.58
411,PO-2023-0354,MAT-003,1194,1.18
412,PO-2023-0355,MAT-003,1255,1.14
413,PO-2023-0356,MAT-006,2749,2.49
414,PO-2023-0357,MAT-003,4393,1.19
415,PO-2023-0357,MAT-002,3534,4.63
416,PO-2023-0358,MAT-001,165,49.2
417,PO-2023-0359,MAT-002,3613,4.32
418,PO-2023-0359,MAT-003,4614,1.16
419,PO-2023-0360,MAT-006,4811,2.52
420,PO-2023-0361,MAT-004,163,46.25
421,PO-2023-0362,MAT-002,4522,4.43
422,PO-2023-0362,MAT-003,3291,1.16
423,PO-2023-0363,MAT-004,123,46.31
424,PO-2023-0364,MAT-004,116,45.66
425,PO-2023-0365,MAT-002,4182,4.55
426,PO-2023-0366,MAT-006,4767,2.5
427,PO-2023-0367,MAT-003,2682,1.21
428,PO-2023-0367,MAT-002,4955,4.39
429,PO-2023-0368,MAT-002,1232,4.41
430,PO-2023-0369,MAT-003,3581,1.16
431,PO-2023-0369,MAT-002,1285,4.72
432,PO-2023-0370,MAT-006,1404,2.46
433,PO-2023-0371,MAT-003,3824,1.23
434,PO-2023-0372,MAT-006,1433,2.54
435,PO-2023-0373,MAT-002,4073,4.68
436,PO-2023-0374,MAT-002,3504,4.38
437,PO-2023-0375,MAT-001,137,51.25
438,PO-2023-0376,MAT-002,4271,4.49
439,PO-2023-0377,MAT-001,80,48.55
440,PO-2023-0378,MAT-003,1911,1.25
441,PO-2023-0378,MAT-002,2135,4.68
442,PO-2023-0379,MAT-001,123,50.26
443,PO-2023-0380,MAT-002,4186,4.48
444,PO-2023-0380,MAT-003,2356,1.22
445,PO-2023-0381,MAT-006,4036,2.56
446,PO-2023-0382,MAT-002,4454,4.42
447,PO-2023-0382,MAT-003,4561,1.21
448,PO-2023-0383,MAT-001,56,49.68
449,PO-2023-0384,MAT-005,4210,0.8
450,PO-2023-0385,MAT-006,4050,2.39
451,PO-2023-0386,MAT-004,188,43.61
452,PO-2023-0387,MAT-003,1860,1.24
453,PO-2023-0387,MAT-002,3551,4.55
454,PO-2023-0388,MAT-002,1682,4.71
455,PO-2023-0389,MAT-005,3791,0.8
456,PO-2023-0390,MAT-002,2014,4.36
457,PO-2023-0390,MAT-003,2277,1.16
458,PO-2023-0391,MAT-006,3850,2.59
459,PO-2023-0392,MAT-001,39,49.75
460,PO-2023-0393,MAT-003,2213,1.15
461,PO-2023-0393,MAT-002,2985,4.52
462,PO-2023-0394,MAT-006,2153,2.5
463,PO-2023-0395,MAT-006,3500,2.5
464,PO-2023-0396,MAT-001,120,49.41
465,PO-2023-0397,MAT-002,1129,4.58
466,PO-2023-0398,MAT-001,159,49.87
467,PO-2023-0399,MAT-003,2083,1.22
468,PO-2023-0399,MAT-002,3694,4.45
469,PO-2023-0400,MAT-003,1354,1.15
470,PO-2023-0401,MAT-004,28,46.3
471,PO-2023-0402,MAT-003,1032,1.24
472,PO-2023-0403,MAT-004,150,44.64
473,PO-2023-0404,MAT-002,1478,4.42
474,PO-2023-0405,MAT-003,1999,1.25
475,PO-2023-0406,MAT-004,156,44.86
476,PO-2023-0407,MAT-001,177,48.44
477,PO-2023-0408,MAT-004,49,46.13
478,PO-2023-0409,MAT-006,4311,2.59
479,PO-2023-0410,MAT-002,2146,4.41
480,PO-2023-0410,MAT-003,3289,1.14
481,PO-2023-0411,MAT-001,48,50.93
482,PO-2023-0412,MAT-006,2905,2.59
483,PO-2023-0413,MAT-003,3443,1.14
484,PO-2023-0413,MAT-002,3297,4.52
485,PO-2023-0414,MAT-003,4053,1.21
486,PO-2023-0414,MAT-002,2746,4.32
487,PO-2023-0415,MAT-004,113,43.06
488,PO-2023-0416,MAT-004,128,46.28
489,PO-2023-0417,MAT-005,4693,0.77
490,PO-2023-0418,MAT-001,29,51.53
491,PO-2023-0419,MAT-003,1351,1.16
492,PO-2023-0419,MAT-002,3084,4.64
493,PO-2023-0420,MAT-003,2907,1.24
494,PO-2023-0420,MAT-002,3807,4.46
495,PO-2023-0421,MAT-003,1359,1.17
496,PO-2023-0421,MAT-002,2248,4.47
497,PO-2023-0422,MAT-004,49,43.81
498,PO-2023-0423,MAT-002,3290,4.7
499,PO-2023-0423,MAT-003,4097,1.19
500,PO-2023-0424,MAT-004,105,46.5
501,PO-2023-0425,MAT-004,168,45.29
502,PO-2023-0426,MAT-004,133,45.62
503,PO-2023-0427,MAT-005,1359,0.76
504,PO-2023-0428,MAT-001,90,50.97
505,PO-2023-0429,MAT-003,3600,1.2
506,PO-2023-0429,MAT-002,4499,4.52
507,PO-2023-0430,MAT-002,2481,4.66
508,PO-2023-0430,MAT-003,3443,1.17
509,PO-2023-0431,MAT-001,95,50.69
510,PO-2023-0432,MAT-003,3909,1.14
511,PO-2023-0432,MAT-002,3263,4.72
512,PO-2023-0433,MAT-002,3381,4.6
513,PO-2023-0434,MAT-006,4873,2.46
514,PO-2023-0435,MAT-002,4024,4.29
515,PO-2023-0435,MAT-003,1230,1.15
516,PO-2023-0436,MAT-003,3959,1.23
517,PO-2023-0436,MAT-002,4207,4.41
518,PO-2023-0437,MAT-006,1752,2.6
519,PO-2023-0438,MAT-003,1460,1.17
520,PO-2023-0439,MAT-001,143,51.64
521,PO-2023-0440,MAT-003,3328,1.23
522,PO-2023-0441,MAT-003,1762,1.21
523,PO-2023-0441,MAT-002,3804,4.36
524,PO-2023-0442,MAT-001,24,50.21
525,PO-2023-0443,MAT-006,3021,2.57
526,PO-2023-0444,MAT-003,4604,1.14
527,PO-2023-0444,MAT-002,2434,4.71
528,PO-2023-0445,MAT-003,4617,1.16
529,PO-2023-0445,MAT-002,3012,4.31
530,PO-2023-0446,MAT-004,18,46.51
531,PO-2023-0447,MAT-006,3318,2.44
532,PO-2023-0448,MAT-004,18,45.47
533,PO-2023-0449,MAT-002,3933,4.31
534,PO-2023-0449,MAT-003,4325,1.15
535,PO-2023-0450,MAT-003,3313,1.21
536,PO-2023-0450,MAT-002,2741,4.57
537,PO-2023-0451,MAT-005,4644,0.8
538,PO-2023-0452,MAT-006,3669,2.41
539,PO-2023-0453,MAT-002,2105,4.54
540,PO-2023-0454,MAT-004,150,44.64
541,PO-2023-0455,MAT-006,2466,2.47
542,PO-2023-0456,MAT-001,24,48.39
543,PO-2023-0457,MAT-001,184,47.71
544,PO-2023-0458,MAT-001,95,49.04
545,PO-2023-0459,MAT-001,73,49.76
546,PO-2023-0460,MAT-002,1672,4.71
547,PO-2023-0460,MAT-003,3553,1.22
548,PO-2023-0461,MAT-002,4927,4.65
549,PO-2023-0461,MAT-003,2540,1.14
550,PO-2023-0462,MAT-004,194,44.3
551,PO-2023-0463,MAT-006,3453,2.38
552,PO-2023-0464,MAT-002,2683,4.39
553,PO-2023-0465,MAT-004,113,44.55
554,PO-2023-0466,MAT-003,1993,1.25
555,PO-2023-0467,MAT-005,1637,0.79
556,PO-2023-0468,MAT-002,3957,4.41
557,PO-2023-0469,MAT-002,4530,4.64
558,PO-2023-0470,MAT-002,2229,4.39
559,PO-2023-0470,MAT-003,4285,1.14
560,PO-2023-0471,MAT-004,131,45.92
561,PO-2023-0472,MAT-003,2765,1.18
562,PO-2023-0472,MAT-002,3176,4.29
563,PO-2023-0473,MAT-006,1146,2.48
564,PO-2023-0474,MAT-002,1916,4.41
565,PO-2023-0474,MAT-003,2930,1.17
566,PO-2023-0475,MAT-002,3806,4.32
567,PO-2023-0475,MAT-003,1734,1.17
568,PO-2023-0476,MAT-003,3908,1.17
569,PO-2023-0477,MAT-002,2208,4.39
570,PO-2023-0478,MAT-006,1534,2.62
571,PO-2023-0479,MAT-001,155,51.48
572,PO-2023-0480,MAT-005,4575,0.82
573,PO-2023-0481,MAT-001,138,49.61
574,PO-2023-0482,MAT-006,1647,2.59
575,PO-2023-0483,MAT-004,18,46.3
576,PO-2023-0484,MAT-003,2440,1.2
577,PO-2023-0484,MAT-002,2093,4.57
578,PO-2023-0485,MAT-002,3262,4.32
579,PO-2023-0485,MAT-003,2909,1.22
580,PO-2023-0486,MAT-004,178,43.48
581,PO-2023-0487,MAT-003,1045,1.25
582,PO-2023-0488,MAT-006,3829,2.49
583,PO-2023-0489,MAT-002,3988,4.7
584,PO-2023-0489,MAT-003,1695,1.17
585,PO-2023-0490,MAT-002,4899,4.34
586,PO-2023-0490,MAT-003,4010,1.19
587,PO-2023-0491,MAT-006,3571,2.41
588,PO-2023-0492,MAT-002,4068,4.57
